,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-09-19,8.65,6.85,1.196,2.391113042831421,16.56,3329.072998046875,0.424,41.15,5.603413105010986,5.158,8.35,10.07473850250244,15.46,3.11,3.33,2.770442247390747,0.7414860129356384,2.252922296524048,3.760892391204834,2.858852863311768,2.983950614929199,2.96878433227539,59.65,2.94,24.84,19.7,19.78,21.88,26.14,34.27,10.091229438781738,12.22,2.53,3.0995261669158936,4.837899684906006,6.14
2003-09-22,8.53,6.83,1.189,2.40108585357666,15.93,3266.427978515625,0.415,40.55,5.388722896575928,4.877,8.13,9.99007511138916,15.08,2.96,3.14,2.713226556777954,0.7280533909797668,2.2579715251922607,3.704337596893311,2.8083224296569824,2.954139471054077,2.934587240219116,57.59,2.98,24.86,19.27,19.06,21.17,25.62,34.11,9.897164344787598,11.9,2.46,3.0088486671447754,4.857007026672363,6.12
2003-09-23,8.46,6.69,1.182,2.3725881576538086,16.15,3194.834716796875,0.422,39.87,5.335050582885742,4.877,8.42,9.90541172027588,14.97,3.01,3.2,2.6981685161590576,0.7334261536598206,2.2377662658691406,3.659092903137207,2.765531539916992,2.942473888397217,2.898252010345459,58.18,2.9,24.24,19.27,19.73,21.3,25.62,32.93,9.703102111816406,11.92,2.46,3.00060510635376,4.777325630187988,5.98
2003-09-24,8.25,6.52,1.155,2.3227131366729736,15.81,3133.086181640625,0.417,38.59,5.251321792602539,4.783,8.31,9.820754051208496,14.87,2.92,3.12,2.578317642211914,0.7253662347793579,2.192303419113159,3.7099928855896,2.791023969650269,2.9264028072357178,2.8106205463409424,57.17,2.82,23.54,18.65,19.01,20.39,24.61,32.09,9.82924461364746,11.46,2.38,2.916522741317749,4.776918888092041,5.94
2003-09-25,8.05,6.52,1.148,2.336963891983032,15.74,3056.1240234375,0.405,38.51,5.109626770019531,4.647,7.91,9.820754051208496,15.12,2.97,3.12,2.457260847091675,0.695814847946167,2.1316864490509038,3.676060914993286,2.742769241333008,2.9056642055511475,2.733675241470337,56.46,2.76,23.07,17.94,18.49,20.18,23.98,31.17,9.913338661193848,11.08,2.35,2.875305652618408,4.684226036071777,5.88
2003-09-26,8.28,6.44,1.141,2.210141181945801,15.81,3056.1240234375,0.402,37.75,5.126801013946533,4.715,8.11,9.719157218933104,15.08,3.01,3.26,2.4090793132781982,0.6985006332397461,2.121584892272949,3.681715965270996,2.747321844100952,2.9147372245788574,2.755048990249634,55.95,2.71,22.85,18.14,18.07,19.97,24.87,30.33,9.800132751464844,10.97,2.32,2.896738290786743,4.635847091674805,5.82
2003-09-29,8.42,6.52,1.141,2.301339864730835,16.27,3079.390869140625,0.411,39.36,5.259909152984619,4.749,8.07,9.947742462158203,15.08,3.08,3.34,2.4060676097869877,0.6931279301643372,2.126636266708374,3.732614278793335,2.776912212371826,2.9147372245788574,2.866191864013672,56.23,2.77,23.18,18.22,18.76,20.45,26.14,31.17,10.15914821624756,11.18,2.35,3.017091751098633,4.797245979309082,6.04
2003-09-30,8.41,6.42,1.121,2.2799644470214844,16.23,3074.02197265625,0.4,39.45,5.195501327514648,4.715,8.15,9.651429176330566,14.79,2.97,3.23,2.4602713584899902,0.690441370010376,2.1013786792755127,3.724131345748901,2.7609784603118896,2.901775360107422,2.9409992694854736,56.64,2.74,23.69,17.85,18.58,20.49,26.3,31.0,10.091229438781738,11.1,2.34,3.2149345874786377,4.756997585296631,5.91
2003-10-01,8.64,6.54,1.189,2.3440890312194824,17.02,3284.326416015625,0.419,40.89,5.369400501251221,4.877,8.38,10.032405853271484,15.52,3.01,3.26,2.618669986724853,0.7146204710006714,2.192303419113159,3.797652959823608,2.8451972007751465,2.9061830043792725,3.035041570663452,58.49,2.81,24.24,18.84,19.08,21.0,27.17,33.35,10.346742630004885,11.74,2.46,3.388046264648437,4.965961456298828,6.16
2003-10-02,8.74,6.59,1.189,2.3583383560180664,17.2,3355.0244140625,0.426,42.42,5.592678070068359,5.064,8.25,9.947742462158203,15.16,2.92,3.29,2.672271490097046,0.7226801514625549,2.2226130962371826,3.9644887447357178,2.943525552749634,2.9494731426239014,3.0927510261535645,58.25,2.9,24.08,18.9,19.31,21.13,27.69,34.69,10.60872745513916,11.85,2.63,3.430912494659424,5.155007362365723,6.38
2003-10-03,8.56,6.69,1.196,2.4580864906311035,17.2,3400.66455078125,0.433,42.42,5.689289569854736,5.09,7.83,10.07473850250244,15.37,2.92,3.34,2.710214138031006,0.7441721558570862,2.2731258869171143,4.023871421813965,2.9954230785369877,2.9494731426239014,3.1910691261291504,59.19,3.0,23.93,19.03,19.03,21.28,27.77,34.95,9.92951202392578,11.88,2.82,3.51169753074646,5.264774322509766,6.56
2003-10-06,8.84,6.64,1.182,2.5079591274261475,17.06,3499.105712890625,0.433,42.12,5.989855766296387,5.192,7.92,10.159401893615724,15.49,2.96,3.37,2.6704635620117188,0.7468585968017578,2.242818117141724,4.0430989265441895,3.013631582260132,3.03009295463562,3.297936201095581,62.52,3.01,23.55,19.49,19.34,21.2,27.5,36.19,9.897164344787598,12.24,2.91,3.7919750213623047,5.346083641052246,6.66
2003-10-07,8.79,6.64,1.196,2.4523861408233643,16.49,3480.3115234375,0.429,42.17,6.2646589279174805,5.464,7.86,10.836691856384276,16.88,3.06,3.55,2.65902042388916,0.7576049566268921,2.303433895111084,3.9871106147766113,3.0045268535614014,3.0093541145324707,3.3919808864593506,66.53,2.99,23.23,19.79,18.93,21.02,26.85,34.69,9.958620071411133,12.54,2.95,4.090385437011719,5.345677375793457,6.61
2003-10-08,8.85,6.77,1.209,2.4680604934692383,16.78,3700.460205078125,0.428,44.1,6.687597751617432,5.975,7.92,10.438782691955566,16.56,3.2,3.77,2.697566032409668,0.760291576385498,2.3135361671447754,4.054975509643555,3.0318408012390137,3.018428087234497,3.404804944992065,65.16,3.02,23.7,21.07,19.36,21.52,26.76,35.27,9.958620071411133,13.22,2.89,3.9238688945770255,5.203792095184326,6.43
2003-10-09,8.8,6.77,1.189,2.479461908340454,17.06,3624.3935546875,0.443,43.43,6.644660472869873,5.941,7.84,10.269461631774902,16.56,3.26,3.83,2.6234872341156006,0.7549188137054443,2.288280963897705,4.071377754211426,3.0295658111572266,3.0140209197998047,3.3064863681793213,64.34,3.02,24.08,20.44,19.62,21.71,27.1,34.69,9.703102111816406,12.73,2.73,3.706242561340332,5.203792095184326,6.4
2003-10-10,8.73,6.62,1.168,2.4652111530303955,17.03,3601.125,0.439,43.27,6.631779670715332,5.864,8.13,10.286388397216797,16.52,3.31,3.91,2.649986743927002,0.7468585968017578,2.2579715251922607,4.043666839599609,3.0277440547943115,3.064570188522339,3.255189895629883,63.98,3.02,24.08,20.06,19.62,21.74,27.32,35.44,9.861590385437012,12.52,2.82,3.676566362380981,5.125329494476318,6.32
2003-10-13,8.87,6.85,1.189,2.4937119483947754,17.03,3659.29443359375,0.441,44.45,7.065454006195068,6.06,7.92,10.244060516357422,16.62,3.48,4.08,2.7252705097198486,0.7414860129356384,2.303433895111084,4.151119709014893,3.10877537727356,3.175259828567505,3.3171732425689697,65.16,3.14,24.54,20.71,19.89,21.97,27.54,36.11,9.91657257080078,12.93,2.8,3.841434001922608,5.447719097137451,6.54
2003-10-14,8.81,6.66,1.196,2.4937119483947754,16.35,3579.64794921875,0.449,44.07,7.344551086425781,6.443,7.94,10.591174125671388,17.24,3.57,4.21,2.722834587097168,0.7576049566268921,2.303433895111084,4.073074817657471,3.052326440811157,3.1799261569976807,3.308623790740967,65.23,3.21,23.84,20.88,20.27,22.07,28.54,35.27,9.97802448272705,13.02,2.88,3.8134069442749023,5.427392959594727,6.62
