,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-06-14,20.27,8.3,8.72,1.305,2.971077442169189,12.81,5.66708517074585,1.28,3767.579345703125,0.426,43.22,6.440705299377441,5.439,12.25,13.198753356933594,20.15,5.83,3.04,4.04892635345459,0.883872926235199,2.626722812652588,4.581501483917236,3.3049798011779785,2.87792706489563,3.030768632888794,83.72,3.1,31.46,23.96,18.16,17.77,25.35,33.93,12.255016326904297,18.76,3.17,4.946052074432373,6.016884326934815,7.35
2004-06-15,20.72,8.31,8.76,1.374,3.127825975418091,13.31,5.990422248840332,1.27,3938.508056640625,0.449,46.82,6.633925914764404,5.583,12.68,13.461204528808594,20.29,5.87,3.2,4.170292854309082,0.9107385277748108,2.6960291862487797,4.767567157745361,3.3983025550842285,2.9608798027038574,3.0760793685913086,87.41,3.27,32.1,25.08,18.67,18.29,25.92,36.11,12.193572998046877,19.54,3.35,5.09443473815918,5.789625644683838,7.05
2004-06-16,21.78,8.31,8.69,1.374,3.1620264053344727,13.72,6.291739463806152,1.28,4098.69580078125,0.476,49.34,6.526580810546875,5.66,13.06,13.698256492614746,20.88,5.85,3.32,4.366734504699707,0.9187979102134703,2.737854480743408,4.789058208465576,3.4119606018066406,2.983950614929199,3.137635469436645,87.54,3.27,32.1,25.74,19.05,18.53,26.88,37.96,12.581693649291992,20.34,3.56,5.117516040802002,5.612372398376465,6.83
2004-06-17,21.41,8.31,8.79,1.353,3.063702344894409,13.7,6.1538286209106445,1.25,3995.78125,0.465,48.83,6.505113124847412,5.6,13.14,13.537400245666504,20.39,5.83,3.27,4.379247665405273,0.905364990234375,2.6873390674591064,4.790189266204834,3.4274373054504395,2.9953556060791016,3.094888210296631,86.2,3.26,31.86,25.32,19.64,18.88,27.01,36.54,12.581693649291992,20.04,3.47,4.946052074432373,5.757102012634277,7.01
2004-06-18,21.35,8.41,8.72,1.353,3.0850775241851807,13.74,6.049526214599609,1.25,3972.513671875,0.461,48.11,6.483643531799316,5.575,12.65,13.825250625610352,21.1,5.85,3.31,4.566928863525391,0.9026790857315063,2.667236328125,4.767567157745361,3.409684181213379,3.064570188522339,3.0222177505493164,87.99,3.19,31.71,25.37,19.88,18.92,27.51,36.19,12.297069549560549,19.75,3.5,4.92791748046875,5.797348976135254,7.03
2004-06-21,21.67,8.34,8.63,1.374,3.069401264190674,13.56,6.004329204559326,1.21,4045.896728515625,0.461,47.07,6.593135356903076,5.668,12.9,13.232616424560549,20.74,5.91,3.3,4.659517288208008,0.921484112739563,2.697946786880493,4.721192836761475,3.361884117126465,2.998467206954956,2.962372303009033,86.15,3.17,31.23,25.18,19.81,18.91,27.89,37.29,12.61403465270996,19.81,3.5,4.962539196014404,5.72010612487793,6.89
2004-06-22,21.67,8.29,8.63,1.353,3.0352020263671875,13.37,6.25813102722168,1.21,3991.30810546875,0.46,45.49,6.7369771003723145,5.702,12.74,13.164888381958008,20.33,5.99,3.35,4.504368782043457,0.905364990234375,2.660061836242676,4.7110114097595215,3.4046761989593506,2.97487735748291,2.8760225772857666,85.13,3.16,30.82,24.71,19.76,18.98,27.56,36.79,12.290594100952148,19.54,3.46,4.797671318054199,5.732302188873291,6.92
2004-06-23,21.94,8.47,8.4,1.374,3.0793752670288086,13.49,6.350843906402588,1.24,4133.59765625,0.475,48.55,6.97743034362793,5.941,13.23,14.20623016357422,21.27,5.95,3.51,4.698305606842041,0.921484112739563,2.6873390674591064,4.942885875701904,3.537148952484131,3.007021188735962,3.035041570663452,87.27,3.26,30.66,25.63,20.84,19.57,29.22,37.96,12.61403465270996,20.11,3.61,4.962539196014404,5.915247917175293,7.16
2004-06-24,21.15,8.38,8.35,1.374,3.0523035526275635,13.36,6.256972789764404,1.24,4018.15478515625,0.47,46.2,6.6553955078125,5.737,13.19,13.87604522705078,21.09,5.93,3.41,4.692050933837891,0.921484112739563,2.712496280670166,4.92026424407959,3.532594680786133,2.9494731426239014,3.060690402984619,89.4,3.19,30.34,25.13,20.77,19.56,29.2,37.96,12.17092990875244,19.72,3.54,5.06475830078125,6.0575385093688965,7.3
2004-06-25,20.97,8.5,8.35,1.408,3.013829231262207,13.7,6.230316162109375,1.25,4079.90283203125,0.449,44.97,6.749858856201172,5.728,12.75,13.884512901306152,21.37,5.92,3.38,4.605716228485107,0.9295442700386048,2.7579596042633057,4.835998058319092,3.464309930801392,2.944807529449463,3.12053656578064,90.56,3.15,30.53,24.93,21.02,19.76,29.03,37.03,12.3552827835083,19.77,3.46,5.251059055328369,6.187634944915772,7.38
